date,state,positive,negative,death,total,deathIncrease,negativeIncrease,positiveIncrease,totalIncrease
20200520,AK,402,36643,10,37045,0,662,3,665
20200520,AL,12744,151706,517,164450,13,6516,368,6884
20200520,AR,5003,91255,107,96258,5,2477,80,2557
20200520,AS,0,124,0,124,0,0,0,0
20200520,AZ,14897,150538,747,165435,43,3533,331,3864
20200520,CA,84057,1296063,3436,1380120,102,38542,2262,40804
20200520,CO,22482,109355,1257,131837,33,224,280,504
20200520,CT,39017,151701,3529,190718,57,4611,587,5198
20200520,DC,7551,32868,407,40419,7,928,117,1045
20200520,DE,8194,37218,310,45412,6,1123,157,1280
20200520,FL,47471,723877,2173,772705,44,54966,527,55493
20200520,GA,39647,363293,1687,402940,23,23858,926,24784
20200520,GU,165,4807,5,4972,0,134,11,145
20200520,HI,641,45663,17,46304,0,1280,1,1281
20200520,IA,15614,95134,388,110748,16,2835,265,3100
20200520,ID,2476,36091,77,38567,3,477,21,498
20200520,IL,100418,542295,4525,642713,146,18641,2388,21029
20200520,IN,29274,166464,1864,195738,40,5839,569,6408
20200520,KS,8539,62664,178,71203,5,4014,199,4213
20200520,KY,8069,145917,366,153986,0,0,0,0
20200520,LA,35316,250654,2608,285970,27,7619,278,7897
20200520,MA,88970,400983,6066,489953,128,11968,1045,13013
20200520,MD,42323,173007,2123,215330,42,5895,777,6672
20200520,ME,1819,35450,73,37269,0,13358,78,13436
20200520,MI,53009,384063,5060,437072,43,13509,659,14168
20200520,MN,17670,149668,786,167338,29,4862,641,5503
20200520,MO,11232,150752,631,161984,15,7722,152,7874
20200520,MP,21,3796,2,3817,0,0,0,0
20200520,MS,11967,108713,570,120680,16,2657,263,2920
20200520,MT,478,29248,16,29726,0,769,7,776
20200520,NC,20122,257481,702,277603,11,12173,422,12595
20200520,ND,2095,57105,49,59200,4,1368,101,1469
20200520,NE,10846,61289,132,72135,7,1930,221,2151
20200520,NH,3721,47167,182,51749,10,1345,69,1414
20200520,NJ,150399,380944,10747,531343,161,9775,1386,11161
20200520,NM,6192,136054,276,142246,6,4530,96,4626
20200520,NV,7166,84005,373,91171,8,3496,120,3616
20200520,NY,354370,1151466,22976,1505836,133,36572,1525,38097
20200520,OH,29436,260092,1781,289528,61,11442,484,11926
20200520,OK,5532,138839,299,144371,5,5181,43,5224
20200520,OR,3801,98348,144,102149,4,2354,75,2429
20200520,PA,63666,286034,4624,349700,0,0,0,0
20200520,PR,2866,0,125,2866,1,0,61,61
20200520,RI,13356,107172,538,120528,6,2877,405,3282
20200520,SC,9056,126007,399,135063,0,0,0,0
20200520,SD,4177,26212,46,30389,0,588,92,680
20200520,TN,18532,335481,309,354013,4,7736,154,7890
20200520,TX,51323,718918,1419,770241,50,23893,1411,25304
20200520,UT,7710,171954,90,179664,10,5316,326,5642
20200520,VA,32908,179718,1074,213144,33,9074,763,9837
20200520,VI,69,1314,6,1409,0,16,0,16
20200520,VT,944,24114,54,25058,0,467,0,467
20200520,WA,18811,274309,1031,293120,29,3785,200,3985
20200520,WI,13413,154300,481,167924,14,6063,528,6591
20200520,WV,1545,79096,69,80641,1,2304,36,2340
20200520,WY,787,18053,11,18840,1,969,21,990
